"date","open","high","low","close"
"2021-03-22","108.92","108.95","108.60","108.85"
"2021-03-19","108.94","109.11","108.61","108.88"
"2021-03-18","108.85","109.31","108.64","108.89"
"2021-03-17","109.00","109.32","108.75","108.84"
"2021-03-16","109.14","109.28","108.78","109.00"
"2021-03-15","108.98","109.36","108.92","109.12"
"2021-03-12","108.51","109.17","108.50","109.03"
"2021-03-11","108.38","108.81","108.36","108.51"
"2021-03-10","108.48","108.92","108.34","108.39"
"2021-03-09","108.89","109.23","108.42","108.49"
"2021-03-08","108.41","108.94","108.30","108.89"
"2021-03-05","107.96","108.63","107.82","108.38"
"2021-03-04","107.00","107.99","106.97","107.98"
"2021-03-03","106.69","107.16","106.67","107.02"
"2021-03-02","106.80","106.96","106.66","106.69"
"2021-03-01","106.60","106.89","106.37","106.76"
"2021-02-26","106.22","106.69","105.86","106.56"
"2021-02-25","105.86","106.39","105.85","106.25"
"2021-02-24","105.25","106.10","105.20","105.85"
"2021-02-23","105.08","105.42","104.92","105.25"
"2021-02-22","105.44","105.84","104.98","105.08"
"2021-02-19","105.71","105.74","105.25","105.43"
"2021-02-18","105.87","105.93","105.60","105.68"
"2021-02-17","106.04","106.22","105.78","105.88"
"2021-02-16","105.38","106.06","105.20","106.05"
"2021-02-15","104.96","105.42","104.92","105.38"
"2021-02-12","104.75","105.18","104.74","104.92"
"2021-02-11","104.59","104.81","104.55","104.75"
"2021-02-10","104.59","104.84","104.41","104.60"
"2021-02-09","105.22","105.26","104.51","104.56"
"2021-02-08","105.36","105.67","105.16","105.23"
"2021-02-05","105.54","105.77","105.33","105.38"
"2021-02-04","105.03","105.56","104.97","105.55"
"2021-02-03","104.98","105.11","104.93","105.03"
"2021-02-02","104.93","105.17","104.83","104.98"
"2021-02-01","104.69","105.03","104.61","104.94"
"2021-01-29","104.23","104.94","104.22","104.69"
"2021-01-28","104.10","104.47","104.07","104.26"
"2021-01-27","103.61","104.20","103.59","104.09"
"2021-01-26","103.76","103.83","103.56","103.62"
"2021-01-25","103.78","103.93","103.68","103.77"
"2021-01-22","103.51","103.89","103.48","103.76"
"2021-01-21","103.54","103.66","103.33","103.49"
"2021-01-20","103.90","103.94","103.45","103.53"
"2021-01-19","103.69","104.08","103.66","103.90"
"2021-01-18","103.90","103.93","103.64","103.69"
"2021-01-15","103.80","103.92","103.62","103.87"
"2021-01-14","103.88","104.20","103.57","103.80"
"2021-01-13","103.76","103.99","103.54","103.87"
"2021-01-12","104.26","104.33","103.72","103.75"
"2021-01-11","103.94","104.40","103.83","104.25"
"2021-01-08","103.81","104.09","103.61","103.96"
"2021-01-07","103.05","103.96","102.95","103.82"
"2021-01-06","102.72","103.44","102.58","103.06"
